Airport Code,Time,Temperature,Dew Point,Humidity,Sea Level Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions,WinDirDegrees,Date
KNYC, 12:51 AM,78.1,54,43,29.85,10,Variable,3.5,-,N/A,,Clear,0,7/2/12 4:51
KEWR, 1:51 AM,75.9,51.1,42,29.86,10,NNE,8.1,-,N/A,,Scattered Clouds,30,7/2/12 5:51
KJFK, 1:51 AM,79,51.1,38,29.87,10,NNW,8.1,-,N/A,,Scattered Clouds,340,7/2/12 5:51
KLGA, 1:51 AM,80.1,54,40,29.86,10,NNW,6.9,-,N/A,,Partly Cloudy,340,7/2/12 5:51
KNYC, 1:51 AM,77,53.1,43,29.87,10,Calm,Calm,-,N/A,,Clear,0,7/2/12 5:51
KEWR, 2:51 AM,75.9,52,43,29.86,10,NNE,6.9,-,N/A,,Scattered Clouds,30,7/2/12 6:51
KJFK, 2:51 AM,77,52,42,29.86,10,North,8.1,-,N/A,,Scattered Clouds,360,7/2/12 6:51
KLGA, 2:51 AM,77,55.9,48,29.85,10,NNW,8.1,-,N/A,,Partly Cloudy,330,7/2/12 6:51
KNYC, 2:51 AM,75,54,48,29.86,10,North,4.6,-,N/A,,Clear,350,7/2/12 6:51
KEWR, 3:51 AM,73,53.1,49,29.86,10,North,5.8,-,N/A,,Scattered Clouds,360,7/2/12 7:51
KJFK, 3:51 AM,75,53.1,46,29.86,10,North,5.8,-,N/A,,Partly Cloudy,360,7/2/12 7:51
KLGA, 3:51 AM,77,55,47,29.85,10,Calm,Calm,-,N/A,,Partly Cloudy,0,7/2/12 7:51
KNYC, 3:51 AM,73,53.1,49,29.86,10,Calm,Calm,-,N/A,,Clear,0,7/2/12 7:51
KEWR, 4:51 AM,72,54,53,29.85,10,NNE,4.6,-,N/A,,Scattered Clouds,20,7/2/12 8:51
KJFK, 4:51 AM,73,54,51,29.85,10,North,6.9,-,N/A,,Partly Cloudy,10,7/2/12 8:51
KLGA, 4:51 AM,73.9,57.9,57,29.85,10,NE,4.6,-,N/A,,Scattered Clouds,40,7/2/12 8:51
KNYC, 4:51 AM,73,53.1,49,29.85,10,Calm,Calm,-,N/A,,Clear,0,7/2/12 8:51
KEWR, 5:51 AM,73,53.1,49,29.88,10,West,4.6,-,N/A,,Partly Cloudy,260,7/2/12 9:51
KJFK, 5:51 AM,73.9,54,50,29.88,10,Calm,Calm,-,N/A,,Partly Cloudy,0,7/2/12 9:51
KLGA, 5:51 AM,75,57,53,29.86,10,Calm,Calm,-,N/A,,Scattered Clouds,0,7/2/12 9:51
KNYC, 5:51 AM,73.9,54,50,29.87,10,West,5.8,-,N/A,,Clear,280,7/2/12 9:51
KEWR, 6:51 AM,75,55,50,29.89,10,WNW,6.9,-,N/A,,Partly Cloudy,300,7/2/12 10:51
KJFK, 6:51 AM,77,55.9,48,29.89,10,Calm,Calm,-,N/A,,Scattered Clouds,0,7/2/12 10:51
KLGA, 6:51 AM,75.9,57,52,29.88,10,NW,6.9,-,N/A,,Partly Cloudy,310,7/2/12 10:51
KNYC, 6:51 AM,73,55,53,29.89,10,WNW,3.5,-,N/A,,Clear,290,7/2/12 10:51
KEWR, 7:51 AM,79,55,44,29.91,10,Variable,4.6,-,N/A,,Partly Cloudy,0,7/2/12 11:51
KJFK, 7:51 AM,77,59,54,29.91,10,South,4.6,-,N/A,,Scattered Clouds,190,7/2/12 11:51
KLGA, 7:51 AM,77,57,50,29.9,10,NW,9.2,-,N/A,,Partly Cloudy,310,7/2/12 11:51
KNYC, 7:51 AM,73.9,55,52,29.91,10,Variable,3.5,-,N/A,,Clear,0,7/2/12 11:51
KEWR, 8:51 AM,81,55.9,42,29.92,10,Variable,6.9,-,N/A,,Scattered Clouds,0,7/2/12 12:51
KJFK, 8:51 AM,82,55,39,29.92,10,WNW,8.1,-,N/A,,Scattered Clouds,300,7/2/12 12:51
KLGA, 8:51 AM,79,57.9,48,29.91,10,NNW,6.9,-,N/A,,Partly Cloudy,330,7/2/12 12:51
KNYC, 8:51 AM,77,55.9,48,29.92,10,Variable,4.6,-,N/A,,Clear,0,7/2/12 12:51
KEWR, 9:51 AM,84,55.9,38,29.91,10,NNW,9.2,-,N/A,,Clear,330,7/2/12 13:51
KJFK, 9:51 AM,84,55,37,29.91,10,NNW,10.4,-,N/A,,Partly Cloudy,340,7/2/12 13:51
KLGA, 9:51 AM,81,57,44,29.91,10,NNW,11.5,-,N/A,,Partly Cloudy,340,7/2/12 13:51
KNYC, 9:51 AM,79,55.9,45,29.91,10,Calm,Calm,-,N/A,,Clear,0,7/2/12 13:51
KEWR, 10:51 AM,84.9,55,36,29.91,10,NNW,8.1,-,N/A,,Scattered Clouds,340,7/2/12 14:51
KJFK, 10:51 AM,84.9,55,36,29.91,10,NNW,9.2,17.3,N/A,,Scattered Clouds,340,7/2/12 14:51
KLGA, 10:51 AM,82.9,55.9,39,29.9,10,North,12.7,-,N/A,,Partly Cloudy,350,7/2/12 14:51
KNYC, 10:51 AM,82,57,42,29.91,10,Variable,4.6,-,N/A,,Clear,0,7/2/12 14:51
KEWR, 11:51 AM,86,54,33,29.91,10,NNW,11.5,24.2,N/A,,Scattered Clouds,330,7/2/12 15:51
KJFK, 11:51 AM,84,53.1,34,29.91,10,North,13.8,17.3,N/A,,Scattered Clouds,350,7/2/12 15:51
KLGA, 11:51 AM,82.9,57.9,42,29.9,10,NW,12.7,24.2,N/A,,Partly Cloudy,320,7/2/12 15:51
KNYC, 11:51 AM,84,55.9,38,29.91,10,North,9.2,-,N/A,,Partly Cloudy,350,7/2/12 15:51
KEWR, 12:51 PM,88,53.1,30,29.9,10,NNW,10.4,23,N/A,,Scattered Clouds,330,7/2/12 16:51
KJFK, 12:51 PM,86,55,35,29.9,10,West,12.7,20.7,N/A,,Scattered Clouds,280,7/2/12 16:51
KLGA, 12:51 PM,84.9,55,36,29.89,10,WNW,15,-,N/A,,Partly Cloudy,300,7/2/12 16:51
KNYC, 12:51 PM,84.9,53.1,33,29.9,10,Variable,6.9,-,N/A,,Partly Cloudy,0,7/2/12 16:51
KEWR, 1:51 PM,89.1,50,26,29.89,10,NNW,15,23,N/A,,Scattered Clouds,330,7/2/12 17:51
KJFK, 1:51 PM,84.9,52,32,29.89,10,NNW,10.4,18.4,N/A,,Scattered Clouds,330,7/2/12 17:51
KLGA, 1:51 PM,86,55,35,29.88,10,NW,12.7,17.3,N/A,,Scattered Clouds,320,7/2/12 17:51
KNYC, 1:51 PM,88,53.1,30,29.89,10,North,8.1,-,N/A,,Scattered Clouds,360,7/2/12 17:51
KEWR, 2:51 PM,90,48,24,29.88,10,WNW,15,23,N/A,,Scattered Clouds,300,7/2/12 18:51
KJFK, 2:51 PM,86,54,33,29.88,10,North,12.7,-,N/A,,Scattered Clouds,360,7/2/12 18:51
KLGA, 2:51 PM,86,54,33,29.87,10,NNW,10.4,18.4,N/A,,Scattered Clouds,340,7/2/12 18:51
KNYC, 2:51 PM,84,55,37,29.91,10,Variable,3.5,-,N/A,,Unknown,0,7/2/12 18:51
KEWR, 3:51 PM,89.1,51.1,27,29.89,10,NW,11.5,20.7,N/A,,Scattered Clouds,310,7/2/12 19:51
KJFK, 3:51 PM,86,53.1,32,29.89,10,NNW,6.9,-,N/A,,Scattered Clouds,340,7/2/12 19:51
KLGA, 3:51 PM,87.1,54,32,29.88,10,NNW,8.1,-,N/A,,Scattered Clouds,330,7/2/12 19:51
KNYC, 3:51 PM,84.9,52,32,29.91,10,Variable,6.9,-,N/A,,Clear,0,7/2/12 19:51
KEWR, 4:51 PM,89.1,52,28,29.88,10,NNW,13.8,23,N/A,,Scattered Clouds,330,7/2/12 20:51
KJFK, 4:51 PM,88,51.1,28,29.88,10,NNW,10.4,-,N/A,,Scattered Clouds,340,7/2/12 20:51
KLGA, 4:51 PM,87.1,55,33,29.87,10,NNW,11.5,-,N/A,,Scattered Clouds,330,7/2/12 20:51
KNYC, 4:51 PM,84.9,53.1,33,29.91,10,WNW,8.1,-,N/A,,Mostly Cloudy,300,7/2/12 20:51
KEWR, 5:51 PM,89.1,52,28,29.88,10,WNW,13.8,23,N/A,,Scattered Clouds,300,7/2/12 21:51
KJFK, 5:51 PM,86,52,31,29.88,10,NNW,15,21.9,N/A,,Scattered Clouds,330,7/2/12 21:51
KLGA, 5:51 PM,84.9,55,36,29.87,10,NNW,9.2,-,N/A,,Scattered Clouds,330,7/2/12 21:51
KNYC, 5:51 PM,84.9,53.1,33,29.91,10,Variable,3.5,-,N/A,,Mostly Cloudy,0,7/2/12 21:51
KEWR, 6:51 PM,88,51.1,28,29.88,10,WNW,13.8,23,N/A,,Scattered Clouds,290,7/2/12 22:51
KJFK, 6:51 PM,86,51.1,30,29.88,10,NNW,15,20.7,0,,Scattered Clouds,340,7/2/12 22:51
KLGA, 6:51 PM,86,53.1,32,29.87,10,NNW,9.2,17.3,N/A,,Partly Cloudy,330,7/2/12 22:51
KNYC, 6:51 PM,84,52,33,29.91,10,Variable,5.8,-,N/A,,Clear,0,7/2/12 22:51
KEWR, 7:51 PM,86,48.9,28,29.89,10,NW,12.7,-,N/A,,Scattered Clouds,310,7/2/12 23:51
KJFK, 7:51 PM,84.9,46.9,27,29.89,10,NNW,17.3,20.7,N/A,,Scattered Clouds,330,7/2/12 23:51
KLGA, 7:51 PM,84,54,35,29.88,10,NW,11.5,-,N/A,,Partly Cloudy,320,7/2/12 23:51
KNYC, 7:51 PM,82.9,50,32,29.92,10,Variable,5.8,-,N/A,,Clear,0,7/2/12 23:51
KEWR, 8:51 PM,82.9,51.1,33,29.91,10,NW,9.2,-,N/A,,Scattered Clouds,310,7/3/12 0:51
KJFK, 8:51 PM,82.9,46.9,28,29.91,10,NNW,11.5,18.4,N/A,,Scattered Clouds,340,7/3/12 0:51
KLGA, 8:51 PM,82,55,39,29.9,10,NW,13.8,-,N/A,,Scattered Clouds,320,7/3/12 0:51
KNYC, 8:51 PM,82,51.1,34,29.94,10,Variable,5.8,-,N/A,,Clear,0,7/3/12 0:51
KEWR, 9:51 PM,82.4,51.8,35,29.92,10,WNW,6.9,-,N/A,,Clear,300,7/3/12 1:51
KJFK, 9:51 PM,82,48.9,31,29.92,10,NW,11.5,-,N/A,,Partly Cloudy,320,7/3/12 1:51
KLGA, 9:51 PM,80.6,55.4,42,29.91,10,NW,11.5,-,N/A,,Partly Cloudy,320,7/3/12 1:51
KNYC, 9:51 PM,80.1,52,38,29.95,10,Variable,4.6,-,N/A,,Clear,0,7/3/12 1:51
KEWR, 10:51 PM,80.1,54,40,29.92,10,WNW,5.8,-,N/A,,Clear,300,7/3/12 2:51
KJFK, 10:51 PM,80.1,51.1,36,29.92,10,NNW,10.4,-,N/A,,Clear,330,7/3/12 2:51
KLGA, 10:51 PM,80.1,57,45,29.91,10,NW,8.1,-,N/A,,Clear,320,7/3/12 2:51
KNYC, 10:51 PM,78.1,54,43,29.95,10,Variable,4.6,-,N/A,,Clear,0,7/3/12 2:51
KEWR, 11:51 PM,80.1,53.1,39,29.92,10,NW,5.8,-,N/A,,Clear,320,7/3/12 3:51
KJFK, 11:51 PM,79,53.1,40,29.92,10,NNW,8.1,-,N/A,,Clear,340,7/3/12 3:51
KLGA, 11:51 PM,79,57,47,29.91,10,NW,5.8,-,N/A,,Clear,320,7/3/12 3:51
KNYC, 11:51 PM,78.1,54,43,29.95,10,Variable,4.6,-,N/A,,Clear,0,7/3/12 3:51
KEWR, 12:51 AM,75.9,55,48,29.92,10,Calm,Calm,-,N/A,,Clear,0,7/3/12 4:51
KJFK, 12:51 AM,77,53.1,43,29.93,10,NW,6.9,-,N/A,,Clear,320,7/3/12 4:51
KLGA, 12:51 AM,77,59,54,29.92,10,NW,5.8,-,N/A,,Clear,320,7/3/12 4:51
KNYC, 12:51 AM,75.9,54,46,29.95,10,Variable,3.5,-,N/A,,Clear,0,7/3/12 4:51
KEWR, 1:51 AM,73.9,55.9,53,29.93,10,Calm,Calm,-,N/A,,Clear,0,7/3/12 5:51
KJFK, 1:51 AM,75.9,54,46,29.93,10,NW,4.6,-,N/A,,Clear,310,7/3/12 5:51
KLGA, 1:51 AM,75.9,59,56,29.92,10,NW,6.9,-,N/A,,Clear,320,7/3/12 5:51
KNYC, 1:51 AM,73.9,55,52,29.96,10,Calm,Calm,-,N/A,,Clear,0,7/3/12 5:51
KEWR, 2:51 AM,71.1,55.9,59,29.93,10,SSW,4.6,-,N/A,,Clear,210,7/3/12 6:51
KJFK, 2:51 AM,75.9,54,46,29.93,10,NNW,4.6,-,N/A,,Clear,330,7/3/12 6:51
KLGA, 2:51 AM,75.9,60.1,58,29.92,10,NW,8.1,-,N/A,,Clear,320,7/3/12 6:51
KNYC, 2:51 AM,73.9,55.9,53,29.93,10,WNW,3.5,-,N/A,,Clear,290,7/3/12 6:51
KEWR, 3:51 AM,73,55.9,55,29.93,10,WSW,3.5,-,N/A,,Clear,250,7/3/12 7:51
KJFK, 3:51 AM,70,61,73,29.93,10,West,4.6,-,N/A,,Clear,260,7/3/12 7:51
KLGA, 3:51 AM,75,61,62,29.91,10,NW,8.1,-,N/A,,Clear,310,7/3/12 7:51
KNYC, 3:51 AM,73,55.9,55,29.93,10,Calm,Calm,-,N/A,,Clear,0,7/3/12 7:51
KEWR, 4:51 AM,72,55.9,57,29.93,10,West,4.6,-,N/A,,Scattered Clouds,260,7/3/12 8:51
KJFK, 4:51 AM,72,55.9,57,29.93,10,NW,6.9,-,N/A,,Clear,320,7/3/12 8:51
KLGA, 4:51 AM,73.9,61,64,29.92,10,NW,5.8,-,N/A,,Partly Cloudy,310,7/3/12 8:51
KNYC, 4:51 AM,72,57,59,29.93,10,West,3.5,-,N/A,,Clear,280,7/3/12 8:51
KEWR, 5:51 AM,72,55.9,57,29.94,10,West,4.6,-,N/A,,Scattered Clouds,270,7/3/12 9:51
KJFK, 5:51 AM,73.9,55.9,53,29.94,10,NW,8.1,-,N/A,,Partly Cloudy,310,7/3/12 9:51
KLGA, 5:51 AM,73.9,60.1,62,29.93,10,NW,9.2,-,N/A,,Partly Cloudy,310,7/3/12 9:51
KEWR, 6:51 AM,75,57,53,29.94,10,Calm,Calm,-,N/A,,Partly Cloudy,0,7/3/12 10:51
KJFK, 6:51 AM,75.9,57,52,29.94,10,NW,4.6,-,N/A,,Scattered Clouds,310,7/3/12 10:51
KLGA, 6:51 AM,75,59,57,29.94,10,WNW,8.1,-,N/A,,Partly Cloudy,300,7/3/12 10:51
KNYC, 6:51 AM,73,57,57,29.95,10,WNW,4.6,-,N/A,,Clear,290,7/3/12 10:51
KEWR, 7:51 AM,80.1,55,42,29.96,10,NW,8.1,-,N/A,,Scattered Clouds,320,7/3/12 11:51
KJFK, 7:51 AM,80.1,55.9,43,29.96,10,NW,9.2,-,N/A,,Scattered Clouds,320,7/3/12 11:51
KLGA, 7:51 AM,77,57.9,52,29.95,10,NW,11.5,-,N/A,,Partly Cloudy,310,7/3/12 11:51
KNYC, 7:51 AM,75,57,53,29.96,10,Calm,Calm,-,N/A,,Clear,0,7/3/12 11:51
KEWR, 8:51 AM,82.9,54,37,29.95,10,West,5.8,-,N/A,,Scattered Clouds,280,7/3/12 12:51
